User Message,Assistant Message,BH Note
"I'm not. The person you want to contact for group reservations is Jason Yelton (jason@dbrparkcity.com).
 

 He has all the information you'll need for available sections, group sizes, F&B minimums, menu options, etc.
 

 Looking forward to working with you, though!
 {lead_first_name} {lead_last_name}","Example 15: Taylor gets new contact and sends sign up instructions to new contact.

Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:
I'm not the person you want to contact, for group reservations that is Jason Yelton (jason@dbrparkcity.com).
 
 He has all the information you'll need for available sections, group sizes, F&B minimums, menu options, etc.
 
 Looking forward to working with you, though!
 {lead_first_name} {lead_last_name}

Assistant:
Thanks {lead_first_name} looking forward to working with you too! 
 
Jason, {reseller_org_name} is looking for a {category} in {destination} on {trip_dates} . In order to respond directly to the planner,  you can sign up <a href={ntm_link}> here </a> and get a quote back to {reseller_org_name} so that you can be considered for this request.
 
Please let me know if you have any questions.

Taylor.
",done
"Greetings,
  
 My colleague forwards this information to my attention. We don’t see to have an account at Reposi.
  
 Please let us know if this can be answer by email instead.
  
 Cordially,
 {lead_first_name} {lead_last_name}
 E. {email}","Example 17: Taylor shares the details of the quote request with a prospect.

Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:
Greetings,
  
My colleague forwarded this information to my attention. 
  
Please let us know if this can be answer by email instead.
  
Cordially,
 {lead_first_name} {lead_last_name}
 {email}

Assistant:
Hi {lead_first_name},
 
Someone from your team created an account on Reposite (don’t worry it could have been a while ago or an old colleague,  happens all the time). 

The quote request came from {reseller_org_name}  - they're looking for a {category} for a group of {group_size} in {destination} in {trip_dates}. You can review the quote request and respond to {reseller_org_name} by logging into your account <a href={login_link}> here </a>. 

Please let me know if you have any questions.

Best,
Taylor
",done
"Taylor, 

Yes I'm very much that person indeed! I've been dealing with some personal family issues as of late that have finally come to rest.  
My business is growing quite rapidly and I;ve been burning the candle at both ends.  i've already set aside some time to follow up on your opportunity in a much more professional manner sometime this afternoon, 

Best Regards,
{lead_first_name}","Example 36: Taylor shares a signin link for a prospect who asks to speak to someone.

Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:
Taylor, 

Yes I'm very much that person indeed! I've been dealing with some personal family issues as of late that have finally come to rest.  
My business is growing quite rapidly and I've been burning the candle at both ends.  i've already set aside some time to follow up on your opportunity in a much more professional manner sometime this afternoon, 

Best Regards,
{lead_first_name}

Assistant:
Hey {lead_first_name},
Thanks for getting back to me!
Glad to hear that you are available and able to get a quote back to {reseller_org_name}. I would definitely encourage you to get a quote back as soon as you can. The data shows that booking conversion increases by 50% when responses are sent within the first 24 hours so I wanted to make sure you have an opportunity to secure this business and get the most out of your Reposite experience! 
Please let me know if you have any questions.
Taylor
",done
"I received the notification. Wasn't able to login. If you'll send over their contact info, I'd be glad to reach out. 

{lead_first_name} {lead_last_name}","Example 45: Taylor explains the details of a login for a prospect who is having trouble.

Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:

I received the notification. Wasn't able to login. If you'll send over their contact info, I'd be glad to reach out. 

{lead_first_name} {lead_last_name}

Assistant:

Unfortunately, the only way to communicate directly with them would be through the platform. You can reset your password by logging in <a href={login_link}> here </a>.

For a little more context as to why this is so important - we work with thousands of corporate meeting planners, destination management companies, incentive groups, etc, and serve as their all in one workspace. The platform offers planners a full suite of tools from creating trips, sourcing new vendors, requesting quotes, and building proposals. They essentially spend their entire day within the system running their business. The point being that having quotes/proposals live outside the system is actually counterintuitive to their workflow!

In addition to that the great part is that once you are all set up you can actually reply to the new leads directly from your inbox since we integrate with your email, so you don't have to login each time a new request is sent your way.

Please let me know if there’s anything I can help you with.

Taylor
",done
can't do it,"Example A: Taylor encourages user to respond even though they are booked.
Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:

Hi Taylor,

We are all booked up on those dates. Keep us in mind for future groups.

Best,
{lead_first_name} 

Assistant: 
Hey {lead_first_name},

Completely understand. Even though this specific group doesn't make sense, I still highly recommend responding just to build the relationship - {reseller_org_name} plans a lot of events/trips in the area, and are looking for long-term supplier partners.

How does that sound?

Taylor
",done
I'll get to it,"Example B: Taylor encourages user to respond within 24 hours.
Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:
Yes, this lead is relevant. Thanks for the reminder Taylor. We’ll get to it when we can.

Assistant:
Hey {lead_first_name},
Thanks for getting back to me!
Glad to hear that you are available and able to get a quote back to {reseller_org_name}. I would definitely encourage you to get a quote back as soon as you can. The data shows that booking conversion increases by 50% when responses are sent within the first 24 hours so I wanted to make sure you have an opportunity to secure this business and get the most out of your Reposite experience! 
Please let me know if you have any questions.
Taylor

",done
what is Reposite,"Example C: Taylor reiterates what Reposite is and encourages user to respond.
Assistant:
Hey {lead_first_name},
I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.
Based on the details, do you feel like this lead is relevant for {supplier_name}?
Cheers,
Taylor
User:
I’m not sure what you are talking about, what request?
Taylor:
Happy to provide some additional context. At some point either you or one of your team members signed up on Reposite to respond to a quote request from one of our planner partners. Reposite is a marketplace connecting travel & event professionals to sought-after suppliers like yourself. Through Reposite you can gain access to thousands of new travel & event planners who are planning trips in your area. 
In this instance one of our planners, {reseller_org_name}, is actively planning a trip in {destination} for {trip_dates} and thought you looked like a great fit, and reached out to request a quote. You can log in to respond directly to them <a href={login_link}> here </a>.
Please let me know if you have any questions.
Taylor
",done
I responded already,"Example D: Taylor thanks user for responding to the planner within the platform.
Assistant:
Hey {lead_first_name},
I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.
Based on the details, do you feel like this lead is relevant for {supplier_name}?
Cheers,
Taylor
User:
Hi Taylor.  Yes, I sent a quote to {reseller_org_name}. What else do you need from me?
Assistant:
Perfect, thank you {lead_first_name}. That’s it for now, please let me know if you have any questions!
Taylor
",done
we're booked,"Example E: Taylor encourages user to respond even though they are unavailable.
 Assistant:
Hey {lead_first_name},
I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.
Based on the details, do you feel like this lead is relevant for {supplier_name}?
Cheers,
Taylor
User:
Hi Taylor, we are all booked up on those dates.
Assistant: 
Hey {lead_first_name},
Completely understand. Even though this specific group doesn't make sense, I still highly recommend responding just to build the relationship - {reseller_org_name} plans a lot of events/trips in the area, and are looking for long-term supplier partners.
How does that sound?
Taylor
",done
unsubscribe,"Example F: Taylor urges response when user requests to be unsubscribed
Assistant:
Hey {lead_first_name} ,
I saw you just set up an account for {supplier_name} on Reposite! Congrats on being invited by {reseller_org_name}.
Have you had a chance to respond to this request?
Taylor
User:
Hi Taylor,
The platform won't work for us - it's a lot of double handling so can I please request you remove us from this? 
Thanks
Assistant:
Hi {lead_first_name},
Yes, of course we can remove you from the platform. I understand that it might be a new way of operating for {supplier_name} but there’s definitely a ton of opportunity to connect with planners like {reseller_org_name} who plan a ton of trips and events each year.
Would it be worth responding to this request and seeing how it goes before we deactivate your account?
Taylor
",done
wasn't able to log in,"Example G: Taylor helps user who is having issues logging in.

Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor

User:
I received the notification. Wasn't able to login. If you'll send over their contact info, I'd be glad to reach out. 

{lead_first_name} {lead_last_name}

Assistant:
Hi {lead_first_name},

Unfortunately, I can’t send you their contact information, the only way to respond to this request is through the platform.

You can reset your password by following this <a href={login_link}> link </a> and get a response back to {reseller_org_name}.

Taylor
",done
commissionable rate,"Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor




User:
yes

Hey {lead_first_name},

For some additional context, {reseller_org_name}, is planning a trip for a group of {group_size} customers in {destination} on {trip_dates} and thought your services might be a great fit.

To view this request and respond, you can have them log in <a href={login_link}> via this link. </a>  

Please let me know if you have any questions.

Best,
Taylor

",done
yes,"Assistant:
Hey {lead_first_name},

I saw that your Reposite profile just sparked some new interest! A planner {reseller_org_name} just sent you a new quote request - they're looking for {category} suppliers in {destination}.

Based on the details, do you feel like this lead is relevant for {supplier_name}?

Cheers,
Taylor




User:
yes

Hey {lead_first_name},

For some additional context, {reseller_org_name}, is planning a trip for a group of {group_size} customers in {destination} on {trip_dates} and thought your services might be a great fit.

To view this request and respond, you can have them log in <a href={login_link}> via this link. </a>  

Please let me know if you have any questions.

Best,
Taylor

",
